,iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,tests_units
14327,USA,United States,2020-04-10,466033,33901,16690,1873,1407.943,102.419,50.423,5.659,2562007.0,157745.0,7.74,0.47700000000000004,inconsistent units (COVID Tracking Project)
12199,RUS,Russia,2020-04-10,10131,1459,76,13,69.422,9.998,0.521,0.08900000000000001,1092811.0,88092.0,7.4879999999999995,0.604,tests performed
7317,ITA,Italy,2020-04-10,143626,4204,18281,612,2375.482,69.531,302.356,10.122,906864.0,53495.0,14.999,0.885,tests performed
8031,KOR,South Korea,2020-04-10,10450,27,208,4,203.826,0.527,4.0569999999999995,0.078,503051.0,8340.0,9.812000000000001,0.163,cases tested
2428,CAN,Canada,2020-04-10,20748,1474,509,74,549.73,39.054,13.485999999999999,1.9609999999999999,383322.0,9741.0,10.156,0.258,people tested
794,AUS,Australia,2020-04-10,6152,100,52,2,241.25599999999997,3.9219999999999997,2.039,0.078,338346.0,8212.0,13.269,0.322,tests performed
13880,TUR,Turkey,2020-04-10,42282,4056,908,96,501.334,48.092,10.765999999999998,1.138,307210.0,30872.0,3.6430000000000002,0.366,tests performed
5167,GBR,United Kingdom,2020-04-10,65077,4344,9608,1103,958.622,63.99,141.531,16.248,256605.0,13543.0,3.78,0.19899999999999998,people tested
6815,IRN,Iran,2020-04-10,66220,1634,4110,117,788.3989999999999,19.454,48.933,1.393,242568.0,11175.0,2.888,0.133,tests performed
2554,CHE,Switzerland,2020-04-10,23495,785,756,51,2714.736,90.70299999999999,87.352,5.893,193924.0,4216.0,22.406999999999996,0.48700000000000004,tests performed
11615,PRT,Portugal,2020-04-10,13956,815,409,29,1368.6770000000001,79.928,40.111,2.844,176546.0,10187.0,17.314,0.9990000000000001,samples tested
6565,IND,India,2020-04-10,6412,678,199,33,4.646,0.491,0.14400000000000002,0.024,161330.0,16420.0,0.11699999999999999,0.012,samples tested
7191,ISR,Israel,2020-04-10,9968,564,86,15,1151.632,65.161,9.936,1.733,149275.0,6750.0,17.246,0.78,tests performed
920,AUT,Austria,2020-04-10,13248,279,295,22,1470.954,30.978,32.754,2.443,134743.0,8456.0,14.960999999999999,0.9390000000000001,tests performed
10679,NOR,Norway,2020-04-10,6160,150,88,8,1136.271,27.669,16.232,1.476,123170.0,2136.0,22.72,0.39399999999999996,people tested
3435,CZE,Czech Republic,2020-04-10,5569,257,112,13,520.031,23.999000000000002,10.459000000000001,1.214,120285.0,5431.0,11.232000000000001,0.507,tests performed
14726,VNM,Vietnam,2020-04-10,257,2,0,0,2.64,0.021,0.0,0.0,118807.0,4566.0,1.2209999999999999,0.047,units unclear
11512,POL,Poland,2020-04-10,5575,370,174,15,147.305,9.776,4.598,0.396,118295.0,10698.0,3.1260000000000003,0.28300000000000003,samples tested
1199,BEL,Belgium,2020-04-10,24983,1580,2523,283,2155.637,136.329,217.695,24.418000000000003,102987.0,6157.0,8.886000000000001,0.531,units unclear
14820,ZAF,South Africa,2020-04-10,1934,89,18,0,32.609,1.501,0.303,0.0,73028.0,4154.0,1.2309999999999999,0.07,units unclear
2615,CHL,Chile,2020-04-10,5972,426,57,9,312.405,22.285,2.9819999999999998,0.47100000000000003,72797.0,4444.0,3.8080000000000003,0.23199999999999998,tests performed
7595,JPN,Japan,2020-04-10,4667,410,85,4,36.9,3.242,0.672,0.032,68771.0,0.0,0.544,0.0,people tested
10124,MYS,Malaysia,2020-04-10,4228,109,67,2,130.631,3.3680000000000003,2.07,0.062,67951.0,4584.0,2.099,0.142,cases tested
3777,DNK,Denmark,2020-04-10,5635,233,237,19,972.86,40.226,40.917,3.28,64731.0,2521.0,11.175999999999998,0.435,People tested
7648,KAZ,Kazakhstan,2020-04-10,802,43,9,2,42.711999999999996,2.29,0.479,0.107,61955.0,2584.0,3.3,0.138,tests performed
10923,NZL,New Zealand,2020-04-10,1015,23,2,1,210.483,4.77,0.415,0.207,58746.0,3061.0,12.182,0.635,tests performed
11164,PAK,Pakistan,2020-04-10,4601,279,66,3,20.829,1.263,0.299,0.013999999999999999,57836.0,3130.0,0.262,0.013999999999999999,tests performed
1576,BHR,Bahrain,2020-04-10,887,64,5,0,521.279,37.611999999999995,2.938,0.0,57681.0,2585.0,33.898,1.5190000000000001,units unclear
11282,PER,Peru,2020-04-10,5256,914,138,17,159.409,27.721,4.185,0.516,56681.0,8216.0,1.719,0.249,units unclear
12073,ROU,Romania,2020-04-10,5202,441,229,20,270.407,22.924,11.904000000000002,1.04,55430.0,3628.0,2.8810000000000002,0.18899999999999997,tests performed
4740,FIN,Finland,2020-04-10,2605,118,42,2,470.156,21.296999999999997,7.58,0.361,46537.0,3224.0,8.399,0.5820000000000001,samples tested
14005,TWN,Taiwan,2020-04-10,380,1,5,0,15.955,0.042,0.21,0.0,45446.0,1560.0,1.9080000000000001,0.066,tests performed
11899,QAT,Qatar,2020-04-10,2376,166,6,0,824.696,57.618,2.083,0.0,45339.0,2195.0,15.737,0.762,people tested
3010,COL,Colombia,2020-04-10,2223,169,69,14,43.68899999999999,3.321,1.3559999999999999,0.275,37876.0,2683.0,0.7440000000000001,0.053,samples processed
8749,LTU,Lithuania,2020-04-10,955,43,15,0,350.80699999999996,15.796,5.51,0.0,36051.0,3242.0,13.243,1.1909999999999998,samples tested
5748,GRC,Greece,2020-04-10,1955,71,86,3,187.565,6.812,8.251,0.28800000000000003,35432.0,1798.0,3.3989999999999996,0.17300000000000001,tests performed
7065,ISL,Iceland,2020-04-10,1648,32,6,0,4829.304,93.773,17.582,0.0,34594.0,510.0,101.374,1.495,samples
13094,SVN,Slovenia,2020-04-10,1124,33,43,3,540.6619999999999,15.874,20.684,1.443,34279.0,1232.0,16.489,0.593,tests performed
9394,MEX,Mexico,2020-04-10,3441,260,194,20,26.688000000000002,2.017,1.505,0.155,33235.0,1884.0,0.258,0.015,cases tested
13670,THA,Thailand,2020-04-10,2473,50,33,1,35.43,0.716,0.473,0.013999999999999999,31984.0,1442.0,0.45799999999999996,0.021,people tested
6276,HUN,Hungary,2020-04-10,1190,210,77,11,123.184,21.738000000000003,7.971,1.139,29948.0,2122.0,3.1,0.22,tests performed
4562,EST,Estonia,2020-04-10,1207,22,24,0,909.887,16.585,18.092,0.0,29438.0,1570.0,22.191999999999997,1.1840000000000002,tests performed
8868,LUX,Luxembourg,2020-04-10,3115,81,52,6,4976.229,129.398,83.07,9.585,28273.0,752.0,45.166000000000004,1.2009999999999998,people tested
5388,GHA,Ghana,2020-04-10,378,65,6,0,12.165,2.092,0.193,0.0,27346.0,0.0,0.88,0.0,units unclear
8934,LVA,Latvia,2020-04-10,589,12,2,0,312.268,6.362,1.06,0.0,26656.0,1198.0,14.132,0.635,tests performed
13034,SVK,Slovakia,2020-04-10,701,19,2,0,128.39700000000002,3.48,0.366,0.0,25846.0,2174.0,4.734,0.39799999999999996,tests performed
14150,UKR,Ukraine,2020-04-10,1892,224,57,5,43.262,5.122000000000001,1.3030000000000002,0.114,23522.0,2914.0,0.5379999999999999,0.067,units unclear
6395,IDN,Indonesia,2020-04-10,3293,337,280,40,12.039000000000001,1.232,1.024,0.146,19452.0,2604.0,0.071,0.01,people tested
