Country/Region,Lat,Long,Confirmed,Deaths,IFR
Afghanistan,2640.0,5200.0,4903,128,2.610646542932898
Albania,3292.2639999999965,1613.4640000000022,5751,290,5.042601286732742
Algeria,2242.7119999999964,132.7679999999999,18293,1917,10.479418356748482
Andorra,3400.5040000000004,121.74399999999993,7829,236,3.014433516413335
Angola,-896.2160000000015,1429.9120000000023,186,26,13.978494623655914
Antigua and Barbuda,1364.8639999999982,-4943.712000000007,213,7,3.2863849765258215
Argentina,-3073.287999999996,-5089.335999999996,21550,669,3.1044083526682136
Armenia,3205.5280000000034,3603.0559999999978,12086,91,0.752937282806553
Australia,-20477.56000000008,90388.98400000011,92718,567,0.6115317414094351
Austria,3801.2960000000016,1164.0080000000005,206694,2838,1.3730442102818659
Azerbaijan,3211.4479999999935,3806.1520000000014,8332,106,1.272203552568411
Bahamas,2002.744000000002,-6191.704000000005,409,45,11.00244498777506
Bahrain,2082.1999999999975,4044.000000000006,15406,86,0.5582240685447228
Bangladesh,1894.7999999999968,7228.504000000011,2134,181,8.481724461105905
Barbados,1055.511999999999,-4763.456000000004,813,16,1.968019680196802
Belarus,4296.784000000003,2236.2720000000027,9381,98,1.0446647478946807
Belgium,4066.6639999999916,320.0,291300,20306,6.970820460006866
Belize,1055.511999999999,-4763.456000000004,78,6,7.6923076923076925
Benin,744.6159999999993,185.26399999999984,287,5,1.7421602787456445
Bhutan,2201.1360000000022,7234.688000000007,95,0,0.0
Bolivia,-1303.2159999999997,-5087.095999999998,2467,132,5.3506282934738545
Bosnia and Herzegovina,3513.271999999998,1414.328,9676,307,3.1727986771393137
Botswana,-1786.280000000002,1974.791999999998,73,11,15.068493150684931
Brazil,-1138.8,-4154.023999999998,162653,6906,4.245848524158792
Brunei,362.8240000000004,9178.216000000006,3032,14,0.46174142480211083
Bulgaria,3418.712000000004,2038.8639999999978,8946,260,2.906326849988822
Burkina Faso,979.0639999999989,-124.92799999999991,5484,275,5.014587892049599
Burma,1753.2959999999964,7676.480000000007,268,17,6.343283582089552
Burundi,-269.8479999999998,2393.511999999998,31,0,0.0
Cabo Verde,1323.1040000000016,-1843.3439999999985,116,18,15.517241379310345
Cambodia,923.9999999999987,8393.335999999996,2404,0,0.0
Cameroon,307.8400000000006,920.1680000000013,6916,113,1.6338924233661076
Canada,53740.855999999745,-99010.31199999993,210565,3649,1.7329565692304039
Central African Republic,528.8880000000006,1675.1519999999987,111,0,0.0
Chad,1236.3359999999996,1498.5759999999987,127,0,0.0
Chile,-2854.007999999997,-5723.439999999998,64417,417,0.6473446450471149
China,86666.93600000026,294753.57600000134,5013260,179107,3.5726652916465533
Colombia,365.6719999999997,-5943.784000000008,22625,495,2.1878453038674035
Congo (Brazzaville),-323.0639999999995,1740.6960000000022,482,36,7.468879668049793
Congo (Kinshasa),-323.0639999999995,1740.6960000000022,2243,204,9.094962104324566
Costa Rica,779.9120000000011,-6700.27199999999,7612,47,0.6174461376773516
