Country/Region,Lat,Long,Deaths
Afghanistan,2640.0,5200.0,128
Albania,3292.2639999999965,1613.4640000000022,290
Algeria,2242.7119999999964,132.7679999999999,1917
Andorra,3400.5040000000004,121.74399999999993,236
Angola,-896.2160000000015,1429.9120000000023,26
Antigua and Barbuda,1364.8639999999982,-4943.712000000007,7
Argentina,-3073.287999999996,-5089.335999999996,669
Armenia,3205.5280000000034,3603.0559999999978,91
Australia,-20477.56000000008,90388.98400000011,567
Austria,3801.2960000000016,1164.0080000000005,2838
Azerbaijan,3211.4479999999935,3806.1520000000014,106
Bahamas,2002.744000000002,-6191.704000000005,45
Bahrain,2082.1999999999975,4044.000000000006,86
Bangladesh,1894.7999999999968,7228.504000000011,181
Barbados,1055.511999999999,-4763.456000000004,16
Belarus,4296.784000000003,2236.2720000000027,98
Belgium,4066.6639999999916,320.0,20306
Belize,1055.511999999999,-4763.456000000004,6
Benin,744.6159999999993,185.26399999999984,5
Bhutan,2201.1360000000022,7234.688000000007,0
Bolivia,-1303.2159999999997,-5087.095999999998,132
Bosnia and Herzegovina,3513.271999999998,1414.328,307
Botswana,-1786.280000000002,1974.791999999998,11
Brazil,-1138.8,-4154.023999999998,6906
Brunei,362.8240000000004,9178.216000000006,14
Bulgaria,3418.712000000004,2038.8639999999978,260
Burkina Faso,979.0639999999989,-124.92799999999991,275
Burma,1753.2959999999964,7676.480000000007,17
Burundi,-269.8479999999998,2393.511999999998,0
Cabo Verde,1323.1040000000016,-1843.3439999999985,18
Cambodia,923.9999999999987,8393.335999999996,0
Cameroon,307.8400000000006,920.1680000000013,113
Canada,53740.855999999745,-99010.31199999993,3649
Central African Republic,528.8880000000006,1675.1519999999987,0
Chad,1236.3359999999996,1498.5759999999987,0
Chile,-2854.007999999997,-5723.439999999998,417
China,86666.93600000026,294753.57600000134,179107
Colombia,365.6719999999997,-5943.784000000008,495
Congo (Brazzaville),-323.0639999999995,1740.6960000000022,36
Congo (Kinshasa),-323.0639999999995,1740.6960000000022,204
Costa Rica,779.9120000000011,-6700.27199999999,47
Cote d'Ivoire,603.2000000000002,-443.76800000000003,25
Croatia,3607.9999999999955,1216.0000000000018,178
Cuba,1760.0,-6400.0,122
Cyprus,2810.112000000005,2674.392000000004,138
Czechia,3985.4000000000065,1237.8399999999983,868
Denmark,15189.071999999944,-3201.143999999996,2340
Diamond Princess,0.0,0.0,379
Djibouti,946.0080000000011,3407.2239999999965,1
Dominica,1233.1999999999987,-4909.680000000006,0
Dominican Republic,1498.8559999999977,-5613.015999999994,1091
Ecuador,-146.49599999999984,-6254.671999999993,2326
Egypt,2080.0,2400.0,1198
El Salvador,1103.5360000000016,-7111.719999999992,37
Equatorial Guinea,120.0,800.0,0
Eritrea,1214.3519999999992,3182.5839999999976,0
Estonia,4687.623999999997,2001.088,182
Eswatini,-2121.800000000002,2517.272,0
Ethiopia,731.5999999999992,3239.176000000004,13
Fiji,-1417.0720000000013,14245.200000000008,0
Finland,5120.0,2080.0,369
France,7308.991999999977,4777.536000000024,108576
Gabon,-64.29599999999995,928.7520000000015,22
Gambia,1075.4560000000013,-1224.8079999999998,19
Georgia,3385.2319999999972,3468.5520000000074,17
Germany,4080.0,720.0,21755
Ghana,635.7200000000009,-81.85600000000011,91
Greece,3125.936000000001,1745.9439999999997,1068
Grenada,969.3199999999985,-4934.320000000005,0
Guatemala,1262.68,-7218.464000000006,38
Guinea,795.6480000000008,-775.7279999999994,0
Guinea-Bissau,944.2960000000015,-1214.4319999999987,0
Guyana,400.0,-4700.0,66
Haiti,1517.6959999999976,-5782.816000000002,8
Holy See,3352.2320000000027,996.2719999999993,0
Honduras,1216.0000000000018,-6899.352,208
Hungary,3772.999999999995,1560.2640000000017,538
Iceland,5197.047999999996,-1521.6640000000004,76
India,1680.0,6240.0,1549
Indonesia,-63.14399999999991,9113.704,3142
Iran,2560.0,4240.0,70862
Iraq,2640.0,3520.0,1123
Ireland,4251.392000000005,-615.3679999999994,2063
Israel,2480.0,2800.0,665
Italy,3440.0,960.0,277976
Jamaica,1448.768,-6183.799999999993,46
Japan,2880.0,11040.0,1654
Jordan,2499.199999999997,2920.8000000000047,72
Kazakhstan,3841.5680000000043,5353.896000000001,70
Kenya,-1.8880000000000017,3032.495999999995,54
"Korea, South",2880.0,10240.0,4547
Kosovo,3408.2108800000037,1672.2381599999983,33
Kuwait,2360.0,3820.0,7
Kyrgyzstan,3296.352000000004,5981.287999999992,24
Laos,1588.5015999999998,8199.639679999982,0
Latvia,4550.368000000009,1968.256000000001,14
Lebanon,2708.3759999999997,2868.983999999995,288
Liberia,514.2479999999989,-754.3599999999994,23
Libya,2106.808,1378.2664800000016,9
Liechtenstein,3771.1999999999975,763.9999999999992,7
Lithuania,4413.552000000007,1910.5040000000006,180
Luxembourg,3985.2240000000074,490.3679999999995,556
MS Zaandam,0.0,0.0,20
Madagascar,-1501.3520000000012,3749.527999999994,0
Malawi,-1060.3446400000012,2744.121999999999,4
Malaysia,200.0,9000.0,857
Maldives,256.22399999999976,5857.655999999994,0
Mali,1405.6553600000004,-319.69327999999996,53
Malta,2875.0,1150.032,5
Mauritania,1680.632000000001,875.2639999999994,12
Mauritius,-1616.0000000000023,4600.0,97
Mexico,1890.759999999996,-8204.224000000013,1091
Moldova,3792.927999999995,2269.5919999999987,193
Monaco,3498.663999999998,593.3359999999996,13
Mongolia,3749.0000000000055,8307.736000000003,0
Montenegro,3400.0,1543.9999999999977,30
Morocco,2543.336000000003,-567.4079999999999,919
Mozambique,-1493.2555999999988,2842.3649600000012,0
Namibia,-1836.6079999999977,1479.2319999999986,0
Nepal,2253.336000000001,6740.0,0
Netherlands,8563.335999999987,-21202.224,24430
New Zealand,-3272.047999999996,13990.880000000023,14
Nicaragua,1029.232000000001,-6816.575999999992,15
Niger,1408.624,646.5359999999998,98
Nigeria,726.5599999999996,694.0239999999995,59
North Macedonia,3328.6880000000015,1739.624000000002,249
Norway,4837.760000000004,677.5119999999997,1007
Oman,1680.0,4560.0,20
Pakistan,2430.024,5547.608000000009,618
Panama,683.0400000000006,-6462.568000000007,619
Papua New Guinea,-505.1999999999999,11516.44,0
Paraguay,-1875.400000000004,-4675.504,67
Peru,-735.2000000000013,-6001.215999999992,1079
Philippines,1040.0,9760.0,2278
Poland,4153.552000000009,1531.607999999998,1307
Portugal,3151.9919999999943,-657.96,3875
Qatar,2028.384000000002,4094.712,48
Romania,3675.4560000000047,1997.3439999999975,2062
Russia,4800.0,7200.0,568
Rwanda,-155.2239999999999,2389.912000000003,0
Saint Kitts and Nevis,1388.6257599999972,-5022.639839999999,0
Saint Lucia,1112.7520000000002,-4878.3120000000035,0
Saint Vincent and the Grenadines,1038.743999999999,-4902.976000000003,0
San Marino,3515.3919999999953,996.6240000000012,636
Sao Tome and Principe,14.908800000000014,529.0464800000007,0
Saudi Arabia,1920.0,3600.0,375
Senegal,1159.7919999999992,-1156.1919999999998,17
Serbia,3521.3200000000043,1680.4720000000034,585
Seychelles,-374.3679999999996,4439.360000000007,0
Sierra Leone,676.8444000000001,-942.3911200000015,0
Singapore,102.66399999999985,8306.664000000004,80
Slovakia,3893.519999999997,1575.920000000001,19
Slovenia,3692.095999999993,1199.6399999999996,379
Somalia,412.16800000000035,3695.9679999999958,3
South Africa,-2444.7599999999998,1835.0,136
South Sudan,550.1600000000003,2504.5599999999977,0
Spain,3200.0,-320.0,183806
Sri Lanka,560.0,6480.0,59
Sudan,1029.0239999999997,2417.4079999999967,41
Suriname,313.5439999999999,-4482.223999999995,8
Sweden,5040.0,1280.0,6042
Switzerland,3745.4560000000047,658.1999999999998,9993
Syria,2784.166000000004,3119.7451999999985,25
Taiwan*,1896.0000000000025,9680.0,114
Tanzania,-509.5200000000011,2791.1040000000016,13
Thailand,1200.0,8080.0,309
Timor-Leste,-709.9373600000005,10058.203120000007,0
Togo,689.5600000000006,65.98400000000011,33
Trinidad and Tobago,855.3440000000019,-4897.799999999995,85
Tunisia,2720.0,720.0,267
Turkey,3117.095999999995,2819.464000000004,7209
US,2967.2160000000044,-7657.0320000000165,127258
Uganda,80.0,2560.0,0
Ukraine,3870.3519999999935,2493.247999999999,488
United Arab Emirates,1920.0,4320.0,142
United Kingdom,21602.39199999999,-38633.97599999992,62913
Uruguay,-2601.8240000000014,-4461.264000000004,57
Uzbekistan,3310.2000000000035,5166.8240000000005,32
Venezuela,513.9040000000011,-5327.176000000007,81
Vietnam,1280.0,8640.0,0
West Bank and Gaza,2556.1760000000004,2818.656,17
Western Sahara,1937.2400000000011,-1030.864000000001,0
Yemen,1244.2181600000001,3881.31104,0
Zambia,-1233.3359999999996,2262.664000000003,10
Zimbabwe,-1600.0,2400.0,26
